Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
360 ONE Balanced Hybrid Fund Reg(G),Mayur Patel,HY-EQ,0.61,3.19,2.6,4.3,2.26,0.54,0.98,-1.8,0.48,-0.09,Hybrid : Equity Oriented
360 ONE Dynamic Bond Fund Reg(G),Milan Mody,DT-DYN,0.65,-0.05,0.97,0.66,1.06,1.14,1.2,0.45,0.24,0.53,Debt : Dynamic Bond
360 ONE ELSS Tax Saver Nifty 50 Index Fund Reg(G),Parijat Garg,EQ-ELSS,1.51,1.2,-0.02,6.66,3.92,1.31,2.27,-6.12,-0.3,-2.04,Equity : Tax Saving (ELSS)
360 ONE Flexicap Fund Reg(G),Mayur Patel,EQ-FLEX,0.61,6.66,4.16,8.27,3.99,1.27,2.16,-5.26,0.47,-0.92,Equity : Flexi Cap
360 ONE Focused Equity Fund Reg(G),Mayur Patel,EQ-MLC,0.76,5.48,1.66,6.75,4.97,0.6,0.32,-6.12,0.06,-2.98,Equity : Multi Cap
360 ONE Liquid Fund Reg(G),Milan Mody,DT-LIQ,0.62,0.6,0.59,0.56,0.59,0.55,0.59,0.57,0.53,0.59,Debt : Liquid
360 ONE Quant Fund Reg(G),Parijat Garg,EQ-THEM,2.22,3.54,3.12,6.13,7.07,2.15,0.39,-9.2,0.15,-1.57,Equity : Thematic
Aditya Birla SL Active Debt Multi Mgr FoF(G),Kaustubh Gupta,FOF-DOM,0.67,0.19,0.88,0.65,0.77,0.79,1.35,-0.12,0.67,0.16,FoFs : Domestic
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,0.63,0.66,0.55,0.65,0.58,0.52,0.52,0.64,0.5,0.61,Hybrid : Arbitrage
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,0.21,4.36,0.56,4.92,3.71,0.41,1.91,-3.42,-0.34,-0.09,FoFs : Domestic
Aditya Birla SL Bal Bhavishya Yojna Reg(G),Chanchal Khandelwal,HY-SOL,0.7,4.63,0.33,6.46,4.67,1.19,1.71,-5.87,-0.56,-0.72,Hybrid : Solution Oriented
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,0.93,2.38,0.95,4.32,3.08,1.21,1.93,-3.51,0.03,-0.7,Hybrid : Dynamic Asset Allocation
Aditya Birla SL Banking & Financial Services Fund Reg(G),Dhaval Gala,EQ-FIN,0.32,6.28,-2.63,8.23,0.18,0.6,4.12,-4.23,-0.21,-2.63,Equity : Sectoral - Financial Services
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,0.64,0.25,0.85,0.6,0.83,0.69,0.87,0.51,0.48,0.54,Debt : Banking & PSU
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,1.58,1.12,-0.33,7.06,3.51,0.95,2.34,-5.7,0.56,-2.1,Equity : ETFs
Aditya Birla SL Business Cycle Fund Reg(G),Harish krishnan,EQ-THEM,0.23,2.69,0.75,8.69,4.78,0.65,2.98,-5.48,-0.53,-0.54,Equity : Thematic
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,0.72,0.21,0.96,0.64,0.89,0.75,0.99,0.48,0.57,0.53,Debt : Corporate Bond
Aditya Birla SL Credit Risk Fund Reg(G),Sunaina da Cunha,DT-CR,0.74,0.27,0.86,1.26,0.84,0.86,1.2,3.13,0.53,0.4,Debt : Credit Risk
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,-,-,-,-,-,-,1.33,-0.05,0.93,0.44,Debt : ETFs
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,-,-,-,-,-,0.98,1.37,-0.1,0.64,0.48,Debt : ETFs
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Reg(G),Mohit Sharma,DT-M&LD,0.6,0.21,0.94,0.74,1.02,0.73,0.87,0.39,0.52,0.5,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU   Apr 2025 Index Fund Reg(G),Mohit Sharma,DT-MD,0.62,0.56,0.6,0.6,0.65,0.54,0.63,0.56,0.52,0.55,Debt : Medium Duration
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU   Apr 2027 Index Fund Reg(G),Mohit Sharma,DT-M&LD,0.59,0.41,0.79,0.66,0.84,0.63,0.7,0.59,0.47,0.52,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund Reg(G),Bhupesh Bameta,DT-B&PSU,0.61,0.44,0.71,0.62,0.73,0.6,0.62,0.61,0.46,0.53,Debt : Banking & PSU
Aditya Birla SL CRISIL IBX Gilt   April 2026 Index Fund Reg(G),Bhupesh Bameta,DT-MD,0.53,0.36,0.74,0.67,0.77,0.58,0.69,0.48,0.46,0.57,Debt : Medium Duration
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund Reg(G),Bhupesh Bameta,DT-M&LD,0.54,0.11,0.95,0.72,0.89,0.67,0.8,0.32,0.45,0.51,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund Reg(G),Harshil Suvarnkar,DT-GILT,0.68,0,1.11,0.7,1.23,0.74,0.96,0.14,0.75,0.48,Debt : Gilt
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund Reg(G),Bhupesh Bameta,DT-LD,0.69,-0.23,1.43,0.55,1.15,0.92,1.45,-0.1,0.73,0.51,Debt : Long Duration
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund Reg(G),Bhupesh Bameta,DT-GILT,-,-,-,-,0.9,0.69,0.73,0.32,0.62,0.44,Debt : Gilt
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund Reg(G),Bhupesh Bameta,DT-LD,0.68,-0.09,1.22,0.61,0.91,1.12,1.1,0.37,0.37,0.66,Debt : Long Duration
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,0.54,0.52,0.53,0.49,0.49,0.49,0.5,0.5,0.46,0.56,Debt : Overnight
Aditya Birla SL CRISIL IBX AAA Financial Services Index Sep 2027 Fund Reg(G),Harshil Suvarnkar,DT-M&LD,-,-,-,-,-,-,-,-,-,0.58,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX AAA NBFC HFC Index Dec 2025 Fund Reg(G),Sanjay Godambe,DT-SD,-,-,-,-,-,-,-,-,0.5,0.6,Debt : Short Duration
Aditya Birla SL CRISIL IBX AAA NBFC HFC Index Sep 2026 Fund Reg(G),Harshil Suvarnkar,DT-SD,-,-,-,-,-,-,-,-,0.45,0.63,Debt : Short Duration
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,-5.47,-2.9,-1.4,9.83,10.92,3.5,-0.9,-4.24,5.13,-0.24,Equity : Sectoral - Technology
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,-2.63,5.82,0.3,6.47,7.18,1.84,1.74,-6.19,-1.03,-1.92,Equity : Thematic - Dividend Yield
Aditya Birla SL Dynamic Bond Fund Reg(G),Mohit Sharma,DT-DYN,0.71,-0.49,1.59,0.7,0.85,1.02,1.48,-0.04,0.42,0.56,Debt : Dynamic Bond
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,0.83,3.96,1.75,7.2,4.23,0.98,2.46,-6.5,-0.58,-1.71,Equity : Tax Saving (ELSS)
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,0.68,4.94,1.2,7.27,4.25,1.33,1.98,-7.27,0.17,-0.32,Equity : Large & Mid Cap
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,1.05,2.57,1.55,6.02,3.18,0.91,2.17,-4.5,0.38,-1.06,Hybrid : Equity Oriented
Aditya Birla SL Equity Savings Fund Reg(G),Lovelish Solanki,HY-EQ,1.13,0.96,0.6,1.6,1.37,0.53,1.2,-1.0,0.48,0.24,Hybrid : Equity Oriented
Aditya Birla SL ESG Integration Strategy Fund Reg(G),Chanchal Khandelwal,EQ-THEM,-0.95,2.04,2.54,8.6,5.1,1.88,4.99,-6.3,1.54,-0.5,Equity : Thematic
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,0.34,3.96,0.96,5.94,4.2,0.95,1.95,-4.63,-0.18,-0.51,FoFs : Domestic
